이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,운영시간,x,y,커버수요수,최근접집계구_m,선정
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0387356,35.1101894,,385875.9894526233,281221.95477665024,0,306.0663899363874,False
부산보훈복지회관,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0412725,35.1200683,,386084.8425326808,282322.92288767564,0,57.30142916114491,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0417766,35.1203612,,386130.13690908893,282356.3675908788,0,30.5396094106108,False
CU,편의점,1.0,1.0,없음(이미 24시간),129.0394926,35.1133131,24/7,385937.91696591326,281569.9946902258,2,8.302478469294808,True
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0401505,35.1129425,24/7,385998.7481357497,281530.0994150061,1,80.96635450997374,False
(무명),마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0390962,35.1164551,Mo-Su 09:00-23:00,385894.6319427099,281917.9115999172,0,34.12373622412493,False
부산 동구청,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0453138,35.129356,,386432.1286053513,283361.1132934296,0,353.2047916582568,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0407188,35.1172057,,386040.87066864537,282004.23449112434,0,102.06052889111389,False
CU,편의점,1.0,1.0,없음(이미 24시간),129.0415237,35.1169235,,386114.90159630985,281974.42427001614,0,169.91094992037836,False
동구장애인 복지관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0403956,35.130917,,385980.2146308781,283525.12988695176,0,603.1683982350062,False
수오경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0412661,35.1344271,,386051.5822136852,283916.2623498985,0,432.56347052628354,False
수정5동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0424287,35.1338546,,386158.8667072705,283854.90820632677,0,331.0278985136501,False
수성지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.043525,35.1348568,,386256.52063155186,283968.1709917269,0,233.4529774366788,False
봉생사회복지회,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0488424,35.1322915,,386747.1043645362,283693.47356315,3,33.58528570108578,True
S-OIL셀프 부산진주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0518304,35.131311,,387021.7362297578,283590.28196198615,1,21.646844696582548,False
(무명),편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.0505349,35.1311706,,386903.9568761841,283572.2681206924,2,81.59493598000645,True
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0369357,35.1141544,,385702.86430016975,281658.57833103195,4,79.41441624744765,True
초량두배로마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0384715,35.113018,,385845.48160442756,281535.34180993313,3,36.20220437814482,False
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0382363,35.1153126,,385818.8231263198,281789.5267618391,1,78.92068940602752,False
초량 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0431653,35.11976,,386258.1194971779,282292.25204242865,0,60.816954479846196,False
초량 2 치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0396944,35.120139,24/7,385940.7995846345,282327.8191259416,0,87.0045294920621,False
초량 지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0376947,35.1178686,24/7,385763.63522154384,282072.14667387377,2,44.48745140204673,True
부산 동부 경찰서,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0492088,35.1299725,,386785.80420037906,283436.8284541773,1,137.0203353026559,False
수정 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0491047,35.129539,,386777.3044720213,283388.52881702903,0,178.80765698601155,False
영주1동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.035016,35.1111072,,385534.73527395085,281316.8618929527,0,329.80000489567414,False
초량6동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0345155,35.120039,,385468.84438481816,282307.06031284336,3,101.05762480423076,True
초량3동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0397798,35.1213424,,385945.84968742984,282461.51605271926,1,39.79796456033789,False
초량2동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0384979,35.1165506,,385839.86297008715,281927.39180481003,0,65.16790630261288,False
초량1동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0369639,35.1139578,,385705.88191847864,281636.8149053334,4,58.66526626974834,False
수정2동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0426479,35.1299727,,386187.6899424151,283424.55552630196,0,473.9775988718458,False
수정1동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0422759,35.1254068,,386164.17322450667,282917.1957026813,0,153.8937366540746,False
범일5동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0538188,35.1305035,,387204.8519225065,283504.41480891005,0,190.33370152573517,False
좌천동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0491703,35.1313893,,386779.05737016496,283593.9744258259,2,64.65334822221064,False
킹마트 24시간영업,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0345669,35.1123515,,385490.9631445076,281454.100665779,0,214.79237648516772,False
러브24시간편의점,편의점,1.0,1.0,없음(이미 24시간),129.0345143,35.1119456,,385487.0872420238,281408.96136505634,0,256.62197034007283,False
이마트24,편의점,1.0,1.0,없음(이미 24시간),129.0327769,35.1129579,24/7,385326.37216016627,281518.05712844315,0,297.49497821089705,False
글마루작은도서관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0317357,35.1127281,,385231.9536850236,281490.6193031306,0,395.0756840925843,False
칠성미니슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0320731,35.1131007,,385261.87479843036,281532.5932132268,0,352.5282571112266,False
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0420011,35.1165738,,386159.2258100386,281936.5118769607,0,228.06238430533728,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.038706,35.11514,,385862.04236334935,281771.2507630789,1,69.88903000121377,False
부산,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0425868,35.1155532,,386214.95238816383,281824.3546813632,0,334.6479123203439,False
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0327215,35.1396741,,385260.7779513872,284482.56196422887,0,1348.0516777127102,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0375381,35.1107182,,385765.59434395033,281278.3988804332,0,247.30026420065641,False
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0351957,35.1109478,,385551.4826044168,281299.50872886577,0,340.681419713267,False
GS25,편의점,1.0,1.0,없음(이미 24시간),129.03981,35.1140522,,385965.17786085594,281652.6029910388,1,86.45150039458936,False
CU,편의점,1.0,1.0,없음(이미 24시간),129.0410739,35.1161453,,386075.660133473,281887.22909367626,0,186.69919258624074,False
