집계구코드,행정동,75세이상인구_2026,t1_출동_분,t2_접근_들것_분,도달_분,초과_분,수요,oa_lon,oa_lat
21030550010006,초량6동,86.1,7.29,18.42,25.71,21.71,3738.462,129.02905009878086,35.12386101679752
21030550010008,초량6동,87.2,6.61,3.54,10.15,6.15,1072.5600000000002,129.03178148772903,35.120088915873886
21030520010005,초량2동,76.0,6.61,3.57,10.18,6.18,939.3599999999999,129.0309390391943,35.117493610500496
21030700010010,좌천동,85.8,13.13,0.83,13.96,9.96,854.5680000000001,129.04847852076173,35.1353851784788
21030700010003,좌천동,89.9,5.44,2.63,8.07,4.07,731.7860000000001,129.05074857265987,35.13492796748009
21030550010001,초량6동,84.9,6.57,1.63,8.2,4.199999999999999,713.16,129.03435927623153,35.12591719233389
21030510010005,초량1동,74.8,4.89,3.15,8.04,4.039999999999999,604.3839999999999,129.0362091571235,35.11618623478553
21030520010601,초량2동,63.6,6.61,2.5,9.11,5.109999999999999,324.996,129.03177886923095,35.11830893483829
21030700010002,좌천동,114.8,5.4,1.43,6.83,2.83,324.884,129.0531105592283,35.13567248929666
21030700010007,좌천동,106.5,5.64,1.33,6.97,2.9699999999999998,316.30499999999995,129.04949123048115,35.136236571880126
21030510010002,초량1동,60.3,6.3,0.31,6.609999999999999,2.6099999999999994,314.7659999999999,129.0347989253666,35.11627891479517
21030520010007,초량2동,129.6,5.57,0.66,6.23,2.2300000000000004,289.00800000000004,129.03442583348783,35.11796891570267
21030700010301,좌천동,26.9,13.13,1.48,14.610000000000001,10.610000000000001,285.409,129.04710523704182,35.1357822007555
21030510010004,초량1동,71.4,7.24,0.48,7.720000000000001,3.7200000000000006,265.60800000000006,129.0337798336523,35.11609455452299
21030550010003,초량6동,83.8,4.85,2.31,7.16,3.16,264.808,129.03588468936942,35.12137375162691
21030700010013,좌천동,91.0,3.56,2.88,6.4399999999999995,2.4399999999999995,222.03999999999996,129.0460093004408,35.13434772346387
21030700010006,좌천동,92.0,5.4,0.89,6.29,2.29,210.68,129.05398609995785,35.136277580405846
21030520010201,초량2동,38.6,6.9,2.21,9.11,5.109999999999999,197.24599999999998,129.03276916269806,35.11709616889138
21030700010011,좌천동,94.1,5.87,0.2,6.07,2.0700000000000003,194.787,129.04817183495572,35.13783331760675
21030550010004,초량6동,78.0,3.84,1.18,5.02,1.0199999999999996,159.11999999999995,129.03718143745647,35.12152705323755
21030530020401,초량3동,27.5,4.64,1.89,6.529999999999999,2.5299999999999994,69.57499999999999,129.03922128715345,35.123672990477665
21030510010006,초량1동,39.1,4.68,0.48,5.16,1.1600000000000001,45.35600000000001,129.03673366601643,35.1160440570959
21030530020504,초량3동,20.2,3.82,1.74,5.56,1.5599999999999996,31.51199999999999,129.04079521408974,35.12400356373815
21030530020402,초량3동,8.9,4.9,2.06,6.960000000000001,2.960000000000001,26.34400000000001,129.038267989556,35.12407185912456
21030530020502,초량3동,9.7,3.82,1.55,5.37,1.37,13.289,129.04034297496352,35.12360477376505
21030700020201,좌천동,7.2,4.57,0.8,5.37,1.37,9.864,129.05352551684334,35.1323196558684
21030530020501,초량3동,10.5,3.82,1.02,4.84,0.8399999999999999,8.819999999999999,129.04009126215956,35.123131431848186
21030530020503,초량3동,9.7,3.89,0.93,4.82,0.8200000000000003,7.954000000000002,129.04130206808435,35.1242743751962
21030530010001,초량3동,4.9,4.14,0.2,4.34,0.33999999999999986,1.6659999999999995,129.04647672189077,35.11629434759274
21030530010601,초량3동,12.1,3.28,0.81,4.09,0.08999999999999986,1.0889999999999982,129.0454770129214,35.123113976771144
