이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
해양두배로,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.043733117103,35.1214675848304,kakao
부산수정1동 우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0427854723091,35.12269744204375,kakao
인창동구노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.042997233743,35.1225686088525,kakao
부산동구시니어클럽,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.043175979931,35.1239281634764,kakao
초량역 부산1호선,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.042661154399,35.1205304214806,kakao
초량119안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.043195530574,35.1197932656979,kakao
주부산일본국총영사관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.042477782082,35.1212688677471,kakao
동방석유 초량주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0445868699693,35.1235907551837,kakao
무인민원발급창구 초량3동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.039793994102,35.1213176848101,kakao
어르신행복식당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.034931537407,35.1193231488094,kakao
초량4동선화경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.03475808672,35.1215213162891,kakao
새마을경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.032879379026,35.1193648064281,kakao
초량6동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.034519250827,35.1200329865089,kakao
세븐일레븐 부산국제여객터미널1호점,편의점,1.0,1.0,없음(이미 24시간),129.04851158180006,35.116679178741464,kakao
세븐일레븐 부산국제여객터미널2호점,편의점,1.0,1.0,없음(이미 24시간),129.0484551028385,35.11652603356897,kakao
GS25 부관훼리점,편의점,1.0,1.0,없음(이미 24시간),129.04914649549502,35.11733170375392,kakao
초량이불마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040553922465,35.1171342699731,kakao
부산초량3동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04219028099158,35.118056535266106,kakao
스토리웨이,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.041657104009,35.1155458465079,kakao
스토리웨이,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.041460297957,35.1154383183932,kakao
스토리웨이,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.042841638828,35.116163009601,kakao
스토리웨이,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.042384200061,35.1151487930364,kakao
CU 부산마리나점,편의점,1.0,1.0,없음(이미 24시간),129.0449962881827,35.11614468759044,kakao
공영재가노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.040141015741,35.120367415091,kakao
GS25 아스티오피스텔점,편의점,1.0,1.0,없음(이미 24시간),129.0418902129922,35.11649265392564,kakao
동구노인복지관 분관,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0348339945962,35.11954647527738,kakao
스토리웨이,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.0426175987338,35.11500878193693,kakao
아리랑슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.031498801337,35.1194204039319,kakao
세븐일레븐 초량육거리점,편의점,1.0,1.0,없음(이미 24시간),129.0388248104406,35.12001378200686,kakao
구봉경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.036624389896,35.1226470633789,kakao
대성슈퍼마켙,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.033776039802,35.1190794073997,kakao
주부산카자흐스탄총영사관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.042082442687,35.1186134739228,kakao
초량2치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.039695253854,35.1201730578079,kakao
GS25 부산범양레우스점,편의점,1.0,1.0,없음(이미 24시간),129.040759698306,35.1220412839273,kakao
CU 초량센터점,편의점,1.0,1.0,없음(이미 24시간),129.038927658878,35.1184196818558,kakao
GS25 초량중앙점,편의점,1.0,1.0,없음(이미 24시간),129.039636872271,35.1217024263109,kakao
GS25 부산초량로점,편의점,1.0,1.0,없음(이미 24시간),129.036004370095,35.1195944021439,kakao
근대화슈퍼마켓,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03439635132327,35.120118859110036,kakao
부산슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.035069215133,35.1200958442453,kakao
정은재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.035697007555,35.1198924474021,kakao
GS25 초량육거리점,편의점,1.0,1.0,없음(이미 24시간),129.03801520176026,35.120667234237146,kakao
CU 부산초량예스점,편의점,1.0,1.0,없음(이미 24시간),129.04126601973175,35.11938781911405,kakao
초량2동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0384979,35.1165506,osm
초량1동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0369639,35.1139578,osm
수정 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0491047,35.129539,osm
부산 동부 경찰서,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0492088,35.1299725,osm
초량 지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0376947,35.1178686,osm
봉생사회복지회,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0488424,35.1322915,osm
초량 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0431653,35.11976,osm
초량두배로마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0384715,35.113018,osm
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0369357,35.1141544,osm
(무명),편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.0505349,35.1311706,osm
S-OIL셀프 부산진주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0518304,35.131311,osm
수오경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0412661,35.1344271,osm
동구장애인 복지관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0403956,35.130917,osm
S-Oil,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0386877,35.1124467,osm
킹마트 24시간영업,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0345669,35.1123515,osm
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0407188,35.1172057,osm
부두 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0522271,35.1256586,osm
초량 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.043211,35.1198878,osm
영주동 파출소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.032193,35.11194,osm
영주2동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0318267,35.1115883,osm
수정4동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0407616,35.1271177,osm
수남문화센터,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0517054,35.1271132,osm
GS25,편의점,1.0,1.0,없음(이미 24시간),129.03981,35.1140522,osm
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0351957,35.1109478,osm
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0375381,35.1107182,osm
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0327215,35.1396741,osm
부산,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0425868,35.1155532,osm
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0420011,35.1165738,osm
칠성미니슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0320731,35.1131007,osm
글마루작은도서관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0317357,35.1127281,osm
이마트24,편의점,1.0,1.0,없음(이미 24시간),129.0327769,35.1129579,osm
러브24시간편의점,편의점,1.0,1.0,없음(이미 24시간),129.0345143,35.1119456,osm
CU,편의점,1.0,1.0,없음(이미 24시간),129.0415237,35.1169235,osm
에이마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03969,35.117853,osm
부산 동구청,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0453138,35.129356,osm
(무명),마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0390962,35.1164551,osm
농심가할마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034931,35.124159,osm
완플러스25할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040164,35.113702,osm
화장품마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.048332,35.128741,osm
삼구유통광장마트;대성당,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0473024,35.1302373,osm
동원드림마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.051087,35.133017,osm
동아빅마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.030179,35.113616,osm
몰종합마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0481362,35.1297814,osm
J.U25시마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.043939,35.121504,osm
K할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.038295,35.118631,osm
삼구유통칸마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.047415,35.129957,osm
부산광역시동구도서관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0524148,35.1380187,osm
남해지방해양경찰청,파출소·지구대,1.0,1.0,없음(24시간 상주),129.055545,35.127254,osm
역전치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.042999,35.114976,osm
범일치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0547551,35.13846,osm
초량2치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.040677,35.121306,osm
수정치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.043103,35.129994,osm
좌천치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.047761,35.133785,osm
부산진,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0492214,35.1290282,osm
초량,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0429702,35.1212017,osm
좌천,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0543505,35.1343358,osm
수정5동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04286,35.133241,osm
초량3동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.042313,35.117894,osm
동방석유초량주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.040677,35.121306,osm
GS25,편의점,1.0,1.0,없음(이미 24시간),129.0401505,35.1129425,osm
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0417766,35.1203612,osm
부산보훈복지회관,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0412725,35.1200683,osm
부산역,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0399028,35.1157262,osm
대양산업대박주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.054866,35.129964,osm
동방석유청구주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.051369,35.125974,osm
제일주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.035044,35.111375,osm
대륙주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.047561,35.126737,osm
해안주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0425151,35.1134676,osm
천일주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.038815,35.112046,osm
서울주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.038746,35.111821,osm
구봉우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.035883,35.119635,osm
수정아파트우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.041654,35.127338,osm
수정1동우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04299,35.122801,osm
초량6동우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.036521,35.124065,osm
초량 지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0375918,35.1179127,osm
