집계구코드,행정동,75세이상인구_2026,안전센터_도로거리_m,하차후_도보거리_m,하차후_표고차_m,t1_출동_분,t2_접근_들것_분,t3_이송_분,총_도달시간_분,평지기준_도달시간_분,지연_분,지연_t1_분,지연_t2_분,지연_t3_분,위험도_거리기준,위험도_시간기준,구급차_분,oa_lon,oa_lat,면적_ha,산지포함_의심,최근접AED_m,최근접AED,AED_왕복_분,설치후_분,단축_분
21030510010007,초량1동,103.8,854.0,2.5,0.1,4.78,0.2,10.5,19.48,18.97,0.51,0.16,0.0,0.35,0.583,0.515,4.98,129.0365159007278,35.11750797135707,2.9505059448242186,False,107.89220244267008,빛과소금복지재단,4.08,4.08263435550486,0.8973656444951406
21030700010001,좌천동,198.5,477.0,17.9,-0.7,3.13,0.72,14.41,22.26,21.74,0.52,0.02,0.01,0.49,0.623,0.491,3.8499999999999996,129.05103547474718,35.13177997240969,1.8965489990234374,False,53.55524904281316,누림재가복지센터,2.53,2.530149972651805,1.3198500273481946
21030520010601,초량2동,63.6,1156.0,33.5,-7.3,6.61,2.5,8.55,21.65,19.67,1.98,0.48,1.17,0.34,0.483,0.491,9.11,129.03177886923095,35.11830893483829,1.41374130859375,False,125.9777637201525,아리랑슈퍼,4.6,4.5993646777186425,4.510635322281357
21030510010010,초량1동,84.8,1052.0,6.1,1.1,5.2,0.39,8.18,17.77,17.17,0.6,0.21,0.15,0.24,0.587,0.475,5.59,129.03577589659116,35.11401229902059,1.9468122802734376,False,109.8811217707616,초량1동행정복지센터,4.14,4.13946062202176,1.4505393779782398
21030510010002,초량1동,60.3,1285.0,2.4,-0.8,6.3,0.31,8.61,19.23,18.3,0.92,0.39,0.11,0.43,0.509,0.438,6.609999999999999,129.0347989253666,35.11627891479517,2.1536802978515626,False,96.72786997024112,초일경로당,3.76,3.763653427721175,2.8463465722788244
21030700010012,좌천동,81.7,1239.0,12.3,0.9,4.98,0.53,7.65,17.16,16.57,0.59,0.14,0.05,0.41,0.665,0.43,5.510000000000001,129.05129878351048,35.133493925469075,3.9875964233398435,False,192.40384065128384,진주상회,6.5,5.510000000000001,0.0
21030700010009,좌천동,82.7,885.0,21.8,-4.3,4.92,1.51,17.0,27.43,25.91,1.52,0.38,0.65,0.49,0.481,0.428,6.43,129.04845761546147,35.134279008110795,2.549678796386719,False,141.74750908489358,진주상회,5.05,5.04992883099696,1.38007116900304
21030510010001,초량1동,84.8,1052.0,0.6,-0.1,4.84,0.2,8.71,17.75,17.33,0.42,0.18,0.0,0.24,0.587,0.428,5.04,129.0362044141803,35.114702798134886,1.8694207641601563,False,109.64694754277363,초량1동행정복지센터,4.13,4.1327699297935325,0.9072300702064675
21030550010003,초량6동,83.8,960.0,40.3,-5.9,4.85,2.31,10.81,21.97,20.42,1.55,0.19,0.71,0.65,0.529,0.425,7.16,129.03588468936942,35.12137375162691,3.6900199829101563,False,104.03416241120695,초량4동선화경로당,3.97,3.9724046403201987,3.1875953596798015
21030520010003,초량2동,122.1,743.0,9.6,0.6,3.8,0.41,10.7,18.91,18.49,0.42,0.03,0.03,0.36,0.597,0.425,4.21,129.03668290685388,35.119374167869495,2.52918623046875,False,292.18511061265446,빛과소금복지재단,9.35,4.21,0.0
