TOT_OA_CD,dong,p75_2026,risk_norm,구급차도달_분,elev,커버_기존야간,커버_통합야간,신규커버_획득
21030510010005,초량1동,74.7578947368421,0.4488629717888963,8.04,39.0,False,True,True
21030510010002,초량1동,60.252631578947366,0.5087550590828205,6.609999999999999,103.0,False,True,True
21030510010003,초량1동,31.242105263157892,0.2322268346025288,5.23,19.0,False,True,True
21030510010011,초량1동,41.28421052631579,0.23946181635328387,4.82,22.0,False,True,True
21030510010001,초량1동,84.8,0.586642574090403,5.04,35.0,False,True,True
21030510010010,초량1동,84.8,0.586642574090403,5.59,35.0,False,True,True
21030510010008,초량1동,13.389473684210525,0.0865731693180818,5.2299999999999995,12.0,False,False,False
21030510010009,초량1동,31.242105263157892,0.18789606331961434,4.890000000000001,12.0,False,True,True
21030510010006,초량1동,39.05263157894736,0.21950465203914768,5.16,30.0,False,True,True
21030510010007,초량1동,103.76842105263157,0.5826599960025368,4.98,35.0,False,True,True
21030510010004,초량1동,71.41052631578947,0.6068082466935887,7.720000000000001,112.0,False,True,True
21030520010010,초량2동,54.8362652232747,0.23593261730978718,3.49,11.0,False,True,True
21030520010008,초량2동,98.45602165087958,0.334653451975704,3.62,16.0,False,False,False
21030520010009,초량2동,69.7916102841678,0.20608804912846,2.64,16.0,False,True,True
21030520010006,초량2동,73.53044654939107,0.34276367009313674,6.72,17.0,False,True,True
21030520010007,초량2동,129.6129905277402,0.9260361015480937,6.23,71.0,True,True,False
21030520010004,초량2동,63.560216508795676,0.24806133791305898,5.35,16.0,False,False,False
21030520010005,초량2동,76.02300405953993,0.6305860027451675,10.18,95.0,False,True,True
21030520010002,초량2동,36.14208389715832,0.15108552433097663,3.89,10.0,False,True,True
21030520010003,초량2동,122.13531799729365,0.5965357940183816,4.21,32.0,False,False,False
21030520010001,초량2동,94.7171853856563,0.5964542817122779,6.76,48.0,False,True,True
21030520010201,초량2동,38.63464140730717,0.3204333287944091,9.11,99.0,True,True,False
21030520010601,초량2동,63.560216508795676,0.48288129549236947,9.11,57.0,False,True,True
21030530010001,초량3동,4.852226720647773,0.034087204534712756,4.34,4.0,False,False,False
21030530010002,초량3동,4.043522267206478,0.0,1.76,17.0,True,True,False
21030530010201,초량3동,0.0,0.0,3.4299999999999997,8.0,True,True,False
21030530010401,초량3동,21.026315789473685,0.06309046516503888,3.94,6.0,False,False,False
21030530010501,초량3동,30.730769230769234,0.056535546865216633,3.84,6.0,False,False,False
21030530010601,초량3동,12.130566801619434,0.032744758971861854,4.09,7.0,False,False,False
21030530010901,초량3동,31.539473684210527,0.12643619549054058,3.61,15.0,True,True,False
21030530020001,초량3동,45.28744939271255,0.17008144917869392,4.65,27.0,True,True,False
21030530020004,초량3동,37.2004048582996,0.07944306944690513,3.78,15.0,False,True,True
21030530020002,초량3동,46.09615384615385,0.10558225947658456,3.92,18.0,False,True,True
21030530020005,초량3동,17.791497975708502,0.07615949162106861,3.32,23.0,True,True,False
21030530020003,초량3동,55.800607287449395,0.1865227263327354,3.96,26.0,False,False,False
21030530020006,초량3동,97.04453441295547,0.4624134279384709,4.24,18.0,False,False,False
21030530020007,초량3동,245.03744939271257,0.1056156237907316,2.73,18.0,True,True,False
21030530020101,초량3동,36.391700404858305,0.0498929671197752,3.4000000000000004,24.0,True,True,False
21030530020102,초량3동,16.982793522267208,0.03889872717558379,3.64,18.0,True,True,False
21030530020103,초량3동,10.513157894736842,0.03406146607773303,4.36,23.0,True,True,False
21030530020401,초량3동,27.49595141700405,0.11787028680574128,6.529999999999999,30.0,True,True,False
21030530020402,초량3동,8.895748987854251,0.04504874304511109,6.960000000000001,39.0,False,False,False
21030530020501,초량3동,10.513157894736842,0.03948319355933966,4.84,27.0,True,True,False
21030530020504,초량3동,20.21761133603239,0.10523036215998526,5.56,32.0,True,True,False
21030530020502,초량3동,9.704453441295547,0.04870654276679726,5.37,32.0,True,True,False
21030530020503,초량3동,9.704453441295547,0.05142243174481993,4.82,33.0,True,True,False
21030550010007,초량6동,119.34030197444831,0.9116610714174318,7.39,90.0,False,True,True
21030550010004,초량6동,78.03019744483159,0.31984806062647575,5.02,25.0,False,False,False
21030550010005,초량6동,97.53774680603948,0.5976793035506885,6.9799999999999995,51.0,False,True,True
21030550010002,초량6동,110.16027874564459,0.7211760997241129,6.1899999999999995,47.0,False,True,True
21030550010003,초량6동,83.7677119628339,0.5285772409661808,7.16,38.0,False,True,True
21030550010001,초량6동,84.91521486643437,0.654649171982336,8.2,82.0,False,True,True
21030550010010,초량6동,128.520325203252,1.0,8.98,69.0,False,True,True
21030550010008,초량6동,87.2102206736353,0.6335191638152994,10.15,63.0,False,True,True
21030550010009,초량6동,112.45528455284551,0.6922956887075568,7.86,53.0,False,True,True
21030550010006,초량6동,86.06271777003484,0.7313146894447818,25.71,143.0,False,False,False
21030700010010,좌천동,85.81269254467036,0.44788908175188863,13.96,50.0,False,True,True
21030700010013,좌천동,90.98213185459025,0.42317751390104424,6.4399999999999995,44.0,False,True,True
21030700010003,좌천동,89.94824399260628,0.6135863842819373,8.07,69.0,False,True,True
21030700010006,좌천동,92.01601971657423,0.7819026475875627,6.29,41.0,True,True,False
21030700010009,좌천동,82.71102895871842,0.48117916643612185,6.43,72.0,False,True,True
21030700010011,좌천동,94.0837954405422,0.7727390119579451,6.07,97.0,False,True,True
21030700010001,좌천동,198.5064695009242,0.6229943933657051,3.8499999999999996,7.0,True,True,False
21030700010004,좌천동,59.96549599507085,0.3509028091677869,5.5600000000000005,14.0,False,False,False
