2024,21030710020010,in_age_014,70
2024,21030550010008,in_age_004,21
2024,21030660040001,in_age_010,10
2024,21030570010010,in_age_013,45
2024,21030680010203,in_age_020,N/A
2024,21030660010002,in_age_009,25
2024,21030710020010,in_age_018,23
2024,21030590010006,in_age_008,17
2024,21030710020004,in_age_019,N/A
2024,21030560010004,in_age_007,20
2024,21030520010009,in_age_002,N/A
2024,21030560010005,in_age_016,25
2024,21030680010302,in_age_008,78
2024,21030660020001,in_age_020,N/A
2024,21030520010601,in_age_017,22
2024,21030660010001,in_age_006,19
2024,21030660030002,in_age_001,N/A
2024,21030710020002,in_age_013,67
2024,21030710020007,in_age_020,N/A
2024,21030600010002,in_age_015,42
2024,21030550010005,in_age_006,27
2024,21030530010002,in_age_006,95
2024,21030710010101,in_age_004,34
2024,21030710020005,in_age_011,38
2024,21030530020101,in_age_010,50
2024,21030660040203,in_age_016,11
2024,21030700010006,in_age_014,77
2024,21030530010901,in_age_003,7
2024,21030600010009,in_age_016,38
2024,21030570010005,in_age_005,14
2024,21030710020018,in_age_003,8
2024,21030660040204,in_age_014,40
2024,21030520010007,in_age_012,49
2024,21030710010101,in_age_015,97
2024,21030570010011,in_age_017,35
2024,21030600010002,in_age_005,18
2024,21030710020004,in_age_004,11
2024,21030570010011,in_age_003,14
2024,21030700010402,in_age_011,33
2024,21030550010009,in_age_018,14
2024,21030520010001,in_age_019,N/A
2024,21030570010006,in_age_006,32
2024,21030570010101,in_age_017,9
2024,21030550010005,in_age_020,N/A
2024,21030710020019,in_age_011,35
2024,21030550010006,in_age_017,19
2024,21030680010207,in_age_009,68
2024,21030570010007,in_age_018,8
2024,21030570010003,in_age_012,40
2024,21030600010006,in_age_014,56
2024,21030710020002,in_age_005,15
2024,21030560010002,in_age_012,50
2024,21030550010004,in_age_012,33
2024,21030590010004,in_age_016,67
2024,21030530020001,in_age_001,N/A
2024,21030710020014,in_age_017,19
2024,21030600010006,in_age_020,N/A
2024,21030550010005,in_age_017,29
2024,21030700010006,in_age_015,42
2024,21030510010006,in_age_018,5
2024,21030660030002,in_age_013,64
2024,21030550010002,in_age_015,53
2024,21030600010003,in_age_010,26
2024,21030710020016,in_age_015,35
2024,21030520010002,in_age_014,31
2024,21030590010002,in_age_005,26
2024,21030660040201,in_age_018,N/A
2024,21030710020012,in_age_015,51
2024,21030700010001,in_age_005,14
2024,21030680010207,in_age_012,56
2024,21030530020002,in_age_014,46
2024,21030550010004,in_age_001,N/A
2024,21030510010009,in_age_012,46
2024,21030710020008,in_age_012,39
2024,21030570010103,in_age_010,43
2024,21030570010102,in_age_008,62
2024,21030560010004,in_age_017,21
2024,21030510010002,in_age_002,8
2024,21030510010010,in_age_020,N/A
2024,21030700020002,in_age_019,N/A
2024,21030590010005,in_age_004,7
2024,21030680010206,in_age_016,9
2024,21030660030001,in_age_008,27
2024,21030700020002,in_age_005,23
2024,21030530020004,in_age_003,N/A
2024,21030550010002,in_age_005,18
2024,21030700010008,in_age_019,N/A
2024,21030660040204,in_age_007,15
2024,21030590010005,in_age_010,16
2024,21030680010001,in_age_020,N/A
2024,21030710020010,in_age_008,14
2024,21030590010005,in_age_014,55
2024,21030530010501,in_age_005,30
2024,21030680010207,in_age_005,30
2024,21030570010103,in_age_008,42
2024,21030710020011,in_age_011,48
2024,21030530020402,in_age_012,26
2024,21030550010010,in_age_003,18
2024,21030550010004,in_age_007,17
2024,21030700010003,in_age_004,14
2024,21030680010203,in_age_005,19
2024,21030680010001,in_age_007,14
2024,21030660020001,in_age_019,N/A
2024,21030550010010,in_age_014,78
2024,21030700010401,in_age_002,5
2024,21030530010901,in_age_019,N/A
2024,21030530010201,in_age_011,26
2024,21030700020201,in_age_005,28
2024,21030700010011,in_age_014,60
2024,21030590010001,in_age_005,14
2024,21030710020012,in_age_005,21
2024,21030530020401,in_age_001,31
2024,21030710020005,in_age_002,N/A
2024,21030530020004,in_age_001,N/A
2024,21030710010101,in_age_013,121
2024,21030530020004,in_age_014,37
2024,21030510010003,in_age_016,16
2024,21030660020102,in_age_008,17
2024,21030530020504,in_age_011,37
2024,21030520010006,in_age_013,38
2024,21030680010001,in_age_010,24
2024,21030600010002,in_age_006,26
2024,21030710020003,in_age_001,N/A
2024,21030510010007,in_age_012,48
2024,21030600010001,in_age_012,49
2024,21030570010001,in_age_015,44
2024,21030520010201,in_age_005,12
2024,21030530010201,in_age_012,17
2024,21030560010006,in_age_003,7
2024,21030530020101,in_age_003,28
2024,21030600010010,in_age_020,N/A
2024,21030680020001,in_age_016,53
2024,21030510010001,in_age_011,60
2024,21030700010015,in_age_006,42
2024,21030710020018,in_age_010,21
2024,21030530020101,in_age_012,40
2024,21030570010009,in_age_005,15
2024,21030520010005,in_age_002,5
2024,21030530020101,in_age_017,13
2024,21030510010011,in_age_008,19
2024,21030660010003,in_age_005,15
2024,21030600010004,in_age_004,21
2024,21030520010004,in_age_008,21
2024,21030570010001,in_age_017,21
2024,21030660010003,in_age_016,38
2024,21030590010003,in_age_009,22
2024,21030570010009,in_age_012,60
2024,21030530020103,in_age_006,28
2024,21030700010011,in_age_011,37
2024,21030700010009,in_age_014,65
2024,21030530020007,in_age_017,97
2024,21030520010601,in_age_019,N/A
2024,21030700010014,in_age_010,21
2024,21030520010001,in_age_002,13
2024,21030590010006,in_age_020,N/A
2024,21030600010005,in_age_007,13
2024,21030520010002,in_age_012,38
2024,21030600010004,in_age_012,41
2024,21030590010001,in_age_016,49
2024,21030600010009,in_age_001,N/A
2024,21030520010005,in_age_019,N/A
2024,21030600010010,in_age_009,22
2024,21030560010006,in_age_020,N/A
2024,21030530020103,in_age_009,80
2024,21030570010009,in_age_011,55
2024,21030680020001,in_age_010,19
2024,21030700020201,in_age_016,7
2024,21030530020402,in_age_006,15
2024,21030520010601,in_age_011,24
2024,21030600010006,in_age_003,15
2024,21030550010009,in_age_003,13
2024,21030530020401,in_age_017,6
2024,21030530010201,in_age_009,25
2024,21030520010006,in_age_011,34
2024,21030570010012,in_age_014,65
2024,21030570010014,in_age_017,21
2024,21030520010009,in_age_010,18
2024,21030510010003,in_age_011,35
2024,21030560010006,in_age_011,46
2024,21030560010201,in_age_013,57
2024,21030570010007,in_age_005,16
2024,21030590010005,in_age_019,6
2024,21030530020401,in_age_018,8
2024,21030680010203,in_age_019,N/A
2024,21030590010003,in_age_018,21
2024,21030680010205,in_age_018,N/A
2024,21030700010016,in_age_004,19
2024,21030700010013,in_age_010,22
2024,21030570010011,in_age_020,N/A
2024,21030660040201,in_age_001,6
2024,21030530010401,in_age_015,24
2024,21030560010201,in_age_005,50
2024,21030530010002,in_age_016,5
2024,21030560010004,in_age_008,14
2024,21030570010008,in_age_002,6
2024,21030530010601,in_age_016,8
2024,21030510010011,in_age_015,31
2024,21030560010002,in_age_006,20
2024,21030590010004,in_age_020,N/A
2024,21030700010001,in_age_013,21
2024,21030570010013,in_age_020,N/A
2024,21030660040201,in_age_013,40
2024,21030530020007,in_age_015,36
2024,21030550010007,in_age_002,12
2024,21030660010003,in_age_013,60
2024,21030570010011,in_age_011,30
2024,21030520010007,in_age_006,27
2024,21030570010003,in_age_016,29
2024,21030710020013,in_age_010,31
2024,21030530020004,in_age_019,N/A
