TOT_OA_CD,ADM_CD,dong,oa_area_m2,cx,cy,entry_node,dist_station_m,p65,p75,p80,p75_2026,f_age,f_reach,risk,risk_norm,lon,lat
21030510010005,21030510,초량1동,23949.583165417556,385631.9964201186,281882.67410381325,1771195595,913.4409184110294,174.0,67.0,28.0,74.7578947368421,0.30508763016476864,0.2331040879704897,0.07111717378063646,0.4488629717888964,129.036209,35.116186
21030510010002,21030510,초량1동,21561.919459821405,385503.2304269581,281890.37005499576,7252212868,1284.5661264087655,152.0,54.0,23.0,60.252631578947366,0.24589152281936574,0.32781278931010116,0.08060638596312468,0.5087550590828207,129.034799,35.116279
21030510010003,21030510,초량1동,72677.97478215622,385930.3728265527,281573.4628024753,1771184802,1130.8261834860111,72.0,28.0,12.0,31.242105263157892,0.12749930812856003,0.28857937151885027,0.036793670208828094,0.23222683460252883,129.039411,35.113346
21030510010011,21030510,초량1동,13769.311843405028,385764.4452431086,281721.5621856862,436870905,882.4214020703031,110.0,37.0,20.0,41.28421052631579,0.16848122859845432,0.2251881123226405,0.0379399698298852,0.23946181635328384,129.037625,35.11471
21030510010001,21030510,초량1동,18716.015770110305,385634.9362189327,281718.061876654,1478526220,1052.449993752076,178.0,76.0,40.0,84.8,0.34606955063466294,0.26857828567050424,0.09294676663221953,0.586642574090403,129.036204,35.114703
21030510010010,21030510,초량1동,19490.8324546224,385597.42495218985,281640.6322227448,1478526220,1052.449993752076,145.0,76.0,40.0,84.8,0.34606955063466294,0.26857828567050424,0.09294676663221953,0.586642574090403,129.035776,35.114012
21030510010008,21030510,초량1동,13667.304271707966,385812.11546955945,281521.2752767726,1769331006,983.656701774235,48.0,12.0,0.0,13.389473684210525,0.05464256062652572,0.2510226920226113,0.013716522667479232,0.0865731693180818,129.038103,35.112897
21030510010009,21030510,초량1동,11136.619599871909,385735.5372432097,281586.2000917178,1771173831,914.9579485051106,88.0,28.0,13.0,31.242105263157892,0.12749930812856003,0.23349122402863753,0.029769969517741895,0.18789606331961434,129.037278,35.113496
21030510010006,21030510,초량1동,21985.328692625968,385680.160735824,281867.90154971596,1771195653,855.1005170361182,85.0,35.0,21.0,39.05263157894736,0.1593741351607,0.2182160029501824,0.03477798674841008,0.21950465203914774,129.036734,35.116044
21030510010007,21030510,초량1동,29539.478693097546,385656.9913922408,282029.9545010796,1771195664,854.2278718246032,222.0,93.0,60.0,103.76842105263157,0.42347984485557433,0.21799330965710564,0.09231577295314428,0.5826599960025369,129.036516,35.117508
21030510010004,21030510,초량1동,15429.029020042359,385410.6825847279,281867.9442481692,3037332100,1339.094295834557,146.0,64.0,30.0,71.41052631578947,0.2914269900081372,0.3417280179215042,0.09958876766431074,0.6285642107837488,129.03378,35.116094
21030520010010,21030520,초량2동,18972.106839787484,385900.38381755364,281951.53814243217,1478526224,654.5515593058782,109.0,44.0,24.0,54.8362652232747,0.22378728377714469,0.16703723381154842,0.03738080884433425,0.23593261730978718,129.039167,35.116757
21030520010008,21030520,초량2동,32934.28027922642,385881.54739523865,282143.85447183496,436870908,517.1026585322056,170.0,79.0,51.0,98.45602165087958,0.40179989587260073,0.13196118235424334,0.05302198932916025,0.33465345197570406,129.039003,35.118493
21030520010009,21030520,초량2동,28007.053909435537,385996.2020335383,282095.9947726615,4310023734,449.23474033278103,153.0,56.0,32.0,69.7916102841678,0.28482017935272963,0.11464173798136286,0.032652280373160404,0.20608804912846,129.04025,35.118041
